Nr,Pos,SampleName,CreationDate,ProcessTime,Amount,Unit,ConcentrateAmount,Unit,Type,State,CalFile,MethodFile,Height,Cell,Hg [ng],Concentration,Unit,DilutionWeight,FinalVolume,CalFactor,DilutionFactor,Statistics,Group,Remark,AS-Pos
62,9,wd1rw2,2024-03-04-21-12-29,2024-03-04-22-00-57,0.9884,g,0.9884,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.315823,1,6.8284,6.9085,µg/kg,,,1,,,,,
63,10,wd1rw3,2024-03-04-21-17-47,2024-03-04-22-10-29,1.0219,g,1.0219,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.242536,0,1.8048,1.7661,µg/kg,,,1,,,,,
64,11,wd1rw3,2024-03-04-21-20-30,2024-03-04-22-20-10,1.0338,g,1.0338,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.2301,0,1.7042,1.6485,µg/kg,,,1,,,,,
65,12,wurw2,2024-03-04-21-23-48,2024-03-04-22-29-33,1.0355,g,1.0355,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.615401,1,15.4038,14.8757,µg/kg,,,1,,,,,
66,13,wurw2,2024-03-04-21-26-42,2024-03-04-22-38-56,1.0537,g,1.0537,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.625104,1,15.7435,14.9412,µg/kg,,,1,,,,,
67,14,wurw3,2024-03-04-21-30-39,2024-03-04-22-48-17,0.9944,g,0.9944,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.638063,1,16.2066,16.2979,µg/kg,,,1,,,,,
68,15,wurw3,2024-03-04-21-33-39,2024-03-04-22-57-38,0.9673,g,0.9673,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.619164,1,15.5348,16.06,µg/kg,,,1,,,,,
69,11,wurw3_spike,2024-03-04-23-30-31,2024-03-04-23-49-55,1.0773,g,1.0773,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.0241,2,35.3836,32.8447,µg/kg,,,1,,,,,
70,12,acs_water,2024-03-04-23-39-16,2024-03-04-23-56-04,0.4809,g,0.4809,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.017358,0,0.1174,0.2441,µg/kg,,,1,,,,,
71,13,blank,2024-03-04-23-41-34,2024-03-05-00-05-38,0.4992,g,0.4992,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.008252,0,0.0543,0.1087,µg/kg,,,1,,,,,
72,14,cs456,2024-03-04-23-46-05,2024-03-05-00-15-13,0.1154,g,0.1154,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.391683,1,8.7391,75.7288,µg/kg,,,1,,,,,
73,1,ib,2024-03-08-18-54-05,2024-03-08-19-02-46,1,g,1,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.020436,0,0.1388,0.1388,µg/kg,,,1,,,,,
74,2,ib,2024-03-08-18-54-07,2024-03-08-19-08-55,1,g,1,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.002286,0,0.0131,0.0131,µg/kg,,,1,,,,,
75,2,water blank,2024-03-08-21-44-33,2024-03-08-21-53-05,0.496,g,0.496,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.008712,0,0.0574,0.1158,µg/kg,,,1,,,,,
76,3,cs456,2024-03-08-21-45-07,2024-03-08-21-59-13,0.1037,g,0.1037,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.365784,1,8.0718,77.8382,µg/kg,,,1,,,,,
77,4,cs456,2024-03-08-21-50-01,2024-03-08-22-08-36,0.1014,g,0.1014,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.368381,1,8.138,80.2566,µg/kg,,,1,,,,,
78,1,ib,2024-03-11-21-18-51,2024-03-11-21-27-45,1,g,1,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.011074,0,0.0738,0.0738,µg/kg,,,1,,,,,
79,2,ib,2024-03-11-21-40-02,2024-03-11-21-40-10,1,g,1,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.00124,0,0.0059,0.0059,µg/kg,,,1,,,,,
81,4,cs456,2024-03-11-21-51-53,2024-03-11-22-05-28,0.0999,g,0.0999,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.352523,1,7.7364,77.4411,µg/kg,,,1,,,,,
82,5,cs456,2024-03-11-21-51-59,2024-03-11-22-11-37,0.1069,g,0.1069,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.386747,1,8.6107,80.5487,µg/kg,,,1,,,,,
83,6,water blank,2024-03-11-22-01-35,2024-03-11-22-21-14,0.4968,g,0.4968,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.009106,0,0.0602,0.1211,µg/kg,,,1,,,,,
84,7,wd1rw1,2024-03-11-22-36-26,2024-03-11-23-29-43,2.0885,g,2.0885,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.4938,0,4.116,1.9708,µg/kg,,,1,,,,,
85,8,wd1rw1,2024-03-11-22-41-32,2024-03-11-23-35-52,2.0504,g,2.0504,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.4807,0,3.9785,1.9403,µg/kg,,,1,,,,,
86,9,wd1rw2,2024-03-11-22-46-08,2024-03-11-23-45-12,2.0114,g,2.0114,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.605506,1,15.0631,7.4888,µg/kg,,,1,,,,,
87,10,wd1rw2,2024-03-11-22-51-43,2024-03-11-23-54-40,2.0131,g,2.0131,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.4698,0,3.8659,1.9204,µg/kg,,,1,,,,,
88,11,wd1rw3,2024-03-11-22-55-05,2024-03-12-00-04-12,1.9642,g,1.9642,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.4303,0,3.4707,1.767,µg/kg,,,1,,,,,
89,12,wd1rw3,2024-03-11-22-59-02,2024-03-12-00-13-40,2.038,g,2.038,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.4598,0,3.764,1.8469,µg/kg,,,1,,,,,
90,13,wd2rw1,2024-03-11-23-01-44,2024-03-12-00-23-08,1.0619,g,1.0619,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.32558,1,7.067,6.655,µg/kg,,,1,,,,,
91,14,wd2rw1,2024-03-11-23-08-12,2024-03-12-00-32-39,1.0655,g,1.0655,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.339582,1,7.4129,6.9572,µg/kg,,,1,,,,,
92,15,wd2rw2,2024-03-11-23-10-26,2024-03-12-00-42-15,1.0716,g,1.0716,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.410635,1,9.2381,8.6209,µg/kg,,,1,,,,,
93,16,wd2rw2,2024-03-11-23-14-08,2024-03-12-00-51-53,1.031,g,1.031,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.262123,1,5.5493,5.3825,µg/kg,,,1,,,,,
94,17,ed1rw2,2024-03-11-23-18-11,2024-03-12-01-01-31,1.0179,g,1.0179,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.479883,1,11.1481,10.9521,µg/kg,,,1,,,,,
95,18,ed1rw2,2024-03-11-23-24-26,2024-03-12-01-11-07,0.9985,g,0.9985,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.611747,1,15.2773,15.3002,µg/kg,,,1,,,,,
96,19,ed1rw3,2024-03-11-23-26-10,2024-03-12-01-20-43,1.0137,g,1.0137,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.762726,1,21.4175,21.128,µg/kg,,,1,,,,,
97,20,ed1rw3,2024-03-11-23-27-31,2024-03-12-01-30-12,1.0805,g,1.0805,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.500345,1,11.7418,10.8671,µg/kg,,,1,,,,,
98,8,wd2rw1_spike,2024-03-12-02-19-08,2024-03-12-02-42-52,1.0664,g,1.0664,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.773258,1,21.9489,20.5822,µg/kg,,,1,,,,,
99,9,acs_water,2024-03-12-02-23-09,2024-03-12-02-49-01,0.5013,g,0.5013,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.019163,0,0.1299,0.2592,µg/kg,,,1,,,,,
100,10,water blank,2024-03-12-02-23-18,2024-03-12-02-58-18,0.5013,g,0.5013,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.007969,0,0.0523,0.1043,µg/kg,,,1,,,,,
101,11,cs456,2024-03-12-02-23-28,2024-03-12-03-07-56,0.1078,g,0.1078,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.375785,1,8.3276,77.2501,µg/kg,,,1,,,,,
105,40,clean,2024-03-15-16-58-00,2024-03-15-16-58-30,1,g,1,g,normal,finished,cal_11-2-23.c80,Clean procedure.m80,0.015959,0,0.1077,0.1077,µg/kg,,,1,,,,,
106,40,clean,2024-03-15-17-02-18,2024-03-15-17-05-54,1,g,1,g,normal,aborted,cal_11-2-23.c80,Clean procedure.m80,,,,,µg/kg,,,1,,,,,
107,40,clean,2024-03-15-17-05-59,2024-03-15-17-10-14,1,g,1,g,normal,finished,cal_11-2-23.c80,Clean procedure.m80,0.001597,0,0.0083,0.0083,µg/kg,,,1,,,,,
108,1,ib,2024-03-15-17-08-08,2024-03-15-17-13-35,1,g,1,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.001813,0,0.0098,0.0098,µg/kg,,,1,,,,,
112,2,water blank,2024-03-15-17-29-53,2024-03-15-17-34-51,0.5,g,0.5,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.00552,0,0.0354,0.0708,µg/kg,,,1,,,,,
115,3,cs456,2024-03-15-18-41-15,2024-03-15-18-44-41,0.108,g,0.108,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.401782,1,9.0039,83.369,µg/kg,,,1,,,,,
116,4,cs456,2024-03-15-18-43-02,2024-03-15-18-50-50,0.104,g,0.104,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.357807,1,7.8695,75.6687,µg/kg,,,1,,,,,
117,5,wurl1,2024-03-15-20-12-14,2024-03-15-21-06-28,1.0059,g,1.0059,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.789622,1,22.8187,22.6849,µg/kg,,,1,,,,,
118,6,wurl1,2024-03-15-20-16-58,2024-03-15-21-12-37,0.9991,g,0.9991,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.767022,1,21.6318,21.6513,µg/kg,,,1,,,,,
119,7,wurl3,2024-03-15-20-20-47,2024-03-15-21-22-02,1.0249,g,1.0249,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.289984,1,6.206,6.0552,µg/kg,,,1,,,,,
120,8,wurl3,2024-03-15-20-25-37,2024-03-15-21-31-20,1.0103,g,1.0103,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.263121,1,5.5726,5.5158,µg/kg,,,1,,,,,
121,9,wd1rl2,2024-03-15-20-27-36,2024-03-15-21-40-45,1.0371,g,1.0371,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.3285,0,2.5301,2.4396,µg/kg,,,1,,,,,
122,10,wd1rl2,2024-03-15-20-31-27,2024-03-15-21-50-07,1.0237,g,1.0237,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.2998,0,2.2817,2.2289,µg/kg,,,1,,,,,
123,11,wd1rl3,2024-03-15-20-33-21,2024-03-15-21-59-31,1.004,g,1.004,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.2911,0,2.2077,2.1989,µg/kg,,,1,,,,,
124,12,wd1rl3,2024-03-15-20-35-56,2024-03-15-22-08-52,1.0643,g,1.0643,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.3456,0,2.6813,2.5193,µg/kg,,,1,,,,,
125,13,eurw2,2024-03-15-20-38-32,2024-03-15-22-18-20,1.0418,g,1.0418,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.345424,1,7.5584,7.2552,µg/kg,,,1,,,,,
126,14,eurw2,2024-03-15-20-43-29,2024-03-15-22-27-41,1.0401,g,1.0401,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.319024,1,6.9064,6.6402,µg/kg,,,1,,,,,
127,15,eurw3,2024-03-15-20-46-44,2024-03-15-22-37-21,1.0291,g,1.0291,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.438585,1,9.9918,9.7093,µg/kg,,,1,,,,,
128,16,eurw3,2024-03-15-20-48-59,2024-03-15-22-46-56,1.0473,g,1.0473,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.480485,1,11.1654,10.6611,µg/kg,,,1,,,,,
129,17,wd2rl1,2024-03-15-20-51-40,2024-03-15-22-56-29,1.0363,g,1.0363,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.252,0,1.882,1.8161,µg/kg,,,1,,,,,
130,18,wd2rl1,2024-03-15-20-53-55,2024-03-15-23-06-08,1.0484,g,1.0484,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.2829,0,2.1385,2.0398,µg/kg,,,1,,,,,
131,19,wd2rl2,2024-03-15-20-55-53,2024-03-15-23-15-30,1.0196,g,1.0196,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.310623,1,6.7021,6.5732,µg/kg,,,1,,,,,
132,20,wd2rl2,2024-03-15-20-58-05,2024-03-15-23-25-05,1.0322,g,1.0322,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.265722,1,5.6334,5.4576,µg/kg,,,1,,,,,
